Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average
Gateway NRA,9431021,9010522,8820757,7697727,5043863,6191246,6021713,6392565,8651770,9190610,7645179
Gauley River NRA,112262,113185,107223,109780,115283,135309,117354,105374,115888,118733,115039
General Grant NMEM,91436,100874,119665,104769,92418,83440,100622,95526,109151,97005,99491
George Rogers Clark NHP,113688,103284,118912,145596,125972,128531,125218,135856,126095,117268,124042
George Washington Birthplace NM,99975,113083,128158,130647,134824,131683,131984,130952,129750,122457,125351
George Washington Carver NM,40407,38899,35068,30787,30425,33061,41535,37745,46397,46466,38079
George Washington MEM PKWY,7009630,6938309,6925099,7417397,7425577,7360392,7472150,7286463,10323339,7562793,7572115
Gettysburg NMP,1455951,1013002,1031554,1124659,1126577,1213349,1020702,1080185,1091320,1038649,1119595
Gila Cliff Dwellings NM,38987,43016,32652,25317,28637,27825,31135,36518,41519,78872,38448
Glacier Bay NP & PRES,418911,438361,444530,431986,454337,500590,500727,551353,520171,547057,480802
Glacier NP,1808027,2031348,2200048,1853564,2162035,2190374,2338528,2366056,2946681,3305512,2320217
Glen Canyon NRA,1947507,1960345,2124467,2270817,2061328,1991924,2368452,2495093,3239525,4574940,2503440
Golden Gate NRA,14554750,15036372,14271503,14567487,14540338,14289121,15004420,14888537,15638777,14981897,14777320
Golden Spike NHS,39968,45334,43561,43933,42551,40704,44125,59147,60027,67811,48716
Governors Island NM,205010,325840,409207,402174,348249,355553,698227,438613,522859,625653,433139
Grand Canyon NP,4425314,4348068,4388386,4298178,4421352,4564840,4756771,5520736,5969811,6254238,4894769
Grand Portage NM,77323,76025,113996,97440,93156,88598,88877,91751,95862,96051,91908
Grand Teton NP,2485987,2580081,2669374,2587437,2705256,2688794,2791392,3149921,3270076,3317000,2824532
Grant-Kohrs Ranch NHS,16633,20099,22075,20293,17095,18848,20565,22139,23176,24072,20500
Great Basin NP,69235,84974,88870,91451,94850,92893,107526,116123,144846,168028,105880
Great Sand Dunes NP & PRES,273903,289955,283284,280058,254674,242841,271774,299513,388308,486935,307125
Great Smoky Mountains NP,9044010,9491437,9463538,9008830,9685829,9354695,10099276,10712674,11312786,11338893,9951197
Greenbelt Park,164103,188043,270661,190427,145552,142742,132688,135260,137900,141856,164923
Guadalupe Mountains NP,163709,198882,192210,152546,159360,145670,166868,169535,181839,225257,175588
Guilford Courthouse NMP,354077,290368,285444,346617,313374,541581,173261,222602,321796,348991,319811
Gulf Islands NS,2054201,4132674,4283747,5501872,4973462,4837965,4455240,3976883,4771309,3952941,4294029
Hagerman Fossil Beds NM,23163,27263,29795,21100,23936,21008,22482,24695,25982,31122,25055
Haleakala NP,1185068,1109104,1105606,956989,1094668,785300,1142040,1216772,1263558,1112390,1097150
Hamilton Grange NMEM,690,150,0,7817,16358,20429,20943,35446,85348,85603,27278
Hampton NHS,35260,39334,32153,32165,37529,32262,32498,34685,34942,32327,34316
Harpers Ferry NHP,254162,275044,268822,255348,263105,255714,261202,282893,335691,342535,279452
Harry S Truman NHS,30848,28384,27670,28924,31316,28977,29364,32825,34616,45435,31836
Hawaii Volcanoes NP,1270538,1233105,1304667,1352123,1483928,1583209,1693005,1832660,1887580,2016702,1565752
Herbert Hoover NHS,142656,162886,142512,134249,128812,128919,139086,127154,152382,144619,140328
Home of Franklin D. Roosevelt NHS,124073,123033,140251,125488,135746,147218,179340,180405,193272,185743,153457
Homestead NM of America,71314,71301,74314,69845,103708,67396,69156,78739,87755,123400,81693
Hopewell Culture NHP,28130,34179,33918,33834,39462,32206,36432,43587,58058,62413,40222
Hopewell Furnace NHS,49328,53186,55750,44873,52870,46138,48105,51252,54167,49306,50498
Horseshoe Bend NMP,50719,72232,67776,65892,58668,55965,64359,89282,83370,74255,68252
Hot Springs NP,1238147,1284707,1311807,1396354,1302505,1325719,1424484,1418162,1544300,1561616,1380780
Hovenweep NM,25411,27855,27386,25858,26710,24959,26808,35117,42862,39970,30294
Hubbell Trading Post NHS,61955,99267,80578,88231,75061,75678,81475,66324,67276,45800,74165
Independence NHP,4076638,3967694,3751007,3572770,3594549,3553070,3648050,4311582,5067510,4790758,4033363
Indiana Dunes NL,1833596,1944568,2150345,1840513,1889381,1681695,1553372,1640195,1698223,2158471,1839036
Isle Royale NP,14038,14653,15793,15892,16663,16274,14560,18684,24966,28196,17972
James A. Garfield NHS,27289,17100,24853,31499,36375,21027,17956,24506,45437,53536,29958
Jean Lafitte NHP & PRES,339821,335075,391019,420366,419694,400128,445524,405618,438420,456666,405233
Jewel Cave NM,100481,129595,103462,77146,109300,98259,104348,116444,137275,144537,112085
Jimmy Carter NHS,82417,69972,64849,66157,69940,67455,62057,67797,66441,60735,67782
